epoch,dice_coef,jacard_coef,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_jacard_coef,val_loss,val_mean_io_u,val_precision,val_recall
0,0.4835606813430786,0.325040727853775,0.17240121960639954,0.002,0.4649166464805603,0.5988856554031372,0.6754407286643982,0.033100660890340805,0.016979817301034927,8.89309310913086,0.4637600779533386,0.656002938747406,0.011293896473944187
1,0.60453200340271,0.43412113189697266,0.09177863597869873,0.002,0.46391651034355164,0.740851104259491,0.6773925423622131,0.2874193787574768,0.17171256244182587,5.256959915161133,0.4637600779533386,0.7982818484306335,0.17388901114463806
2,0.6182388663291931,0.4479740262031555,0.08710629492998123,0.002,0.4639260470867157,0.7512328624725342,0.6793316602706909,0.5400493144989014,0.37522539496421814,1.5237551927566528,0.4637600779533386,0.7164678573608398,0.48644137382507324
3,0.634179413318634,0.46481817960739136,0.08354837447404861,0.002,0.4639125466346741,0.7564218640327454,0.6947713494300842,0.5197446346282959,0.3527972996234894,0.2004060000181198,0.4637600779533386,0.8180794715881348,0.4079646170139313
4,0.641667902469635,0.4727795720100403,0.08138903975486755,0.002,0.4639125466346741,0.759727954864502,0.7056865692138672,0.5635804533958435,0.392621785402298,0.1041111871600151,0.4637600779533386,0.8598034977912903,0.45963671803474426
5,0.6463456153869629,0.47789135575294495,0.08019380271434784,0.002,0.4639125466346741,0.7612789273262024,0.7126415967941284,0.682200014591217,0.5189396739006042,0.13431738317012787,0.4637600779533386,0.703264594078064,0.7856860160827637
6,0.6528037190437317,0.48512259125709534,0.07890236377716064,0.002,0.46391263604164124,0.7635613679885864,0.7200789451599121,0.599872350692749,0.42893892526626587,0.08626414835453033,0.4637600779533386,0.8546444177627563,0.5310109257698059
7,0.655779242515564,0.4882722496986389,0.07786478102207184,0.002,0.4639125466346741,0.7690868973731995,0.7196449041366577,0.6770032644271851,0.5125368237495422,0.08431441336870193,0.4637600779533386,0.6811335682868958,0.8515610694885254
8,0.6640832424163818,0.49744126200675964,0.07632242888212204,0.002,0.46391257643699646,0.7723327279090881,0.7291271090507507,0.6103445887565613,0.44229555130004883,0.19468815624713898,0.4637600779533386,0.7683167457580566,0.5832720398902893
9,0.6656079888343811,0.499118834733963,0.07590898126363754,0.002,0.4639125466346741,0.77222740650177,0.7319257259368896,0.6922213435173035,0.5301600694656372,0.08280768245458603,0.4637600779533386,0.7041866183280945,0.8286330103874207
10,0.6684507727622986,0.5023965835571289,0.07540777325630188,0.002,0.4639125466346741,0.7771161198616028,0.730597734451294,0.5960693359375,0.42676401138305664,0.1815221756696701,0.4637600779533386,0.7087523937225342,0.5727394223213196
11,0.654338538646698,0.4866669178009033,0.07843469828367233,0.002,0.4639125466346741,0.7659123539924622,0.7186626195907593,0.557470440864563,0.3871920704841614,0.10287981480360031,0.4637600779533386,0.8573740720748901,0.42919570207595825
12,0.6652075052261353,0.49882420897483826,0.0759960487484932,0.002,0.46391260623931885,0.7718068361282349,0.7289043068885803,0.6301190257072449,0.46226608753204346,0.13281607627868652,0.4637600779533386,0.7898516654968262,0.6111208200454712
13,0.6684304475784302,0.5025290250778198,0.07528845220804214,0.002,0.46391257643699646,0.7760063409805298,0.7305744290351868,0.6803852915763855,0.5163908004760742,0.0753277987241745,0.4637600779533386,0.762237548828125,0.7654501795768738
14,0.6766200065612793,0.5116338133811951,0.0737266018986702,0.002,0.46391263604164124,0.7802890539169312,0.7391659617424011,0.6834490299224854,0.5201940536499023,0.08048015832901001,0.4637600779533386,0.7376739382743835,0.759865939617157
15,0.6789071559906006,0.5142238736152649,0.073033407330513,0.002,0.46391263604164124,0.7826482057571411,0.7428776025772095,0.6959295272827148,0.5344063639640808,0.07747548818588257,0.4637600779533386,0.719550609588623,0.8277952075004578
16,0.6842537522315979,0.5204845666885376,0.0720948800444603,0.002,0.4639125466346741,0.7837522625923157,0.749935507774353,0.6770118474960327,0.5122790932655334,0.07737912237644196,0.4637600779533386,0.7976210117340088,0.6927192807197571
17,0.687040388584137,0.5236251950263977,0.07107773423194885,0.002,0.4639125466346741,0.7894014716148376,0.749798595905304,0.7101430892944336,0.5511471033096313,0.08071599900722504,0.4637600779533386,0.708544909954071,0.8415558338165283
18,0.7049218416213989,0.5445730090141296,0.06727652251720428,0.00020000001,0.46391260623931885,0.7981876730918884,0.771874725818634,0.7036968469619751,0.5433593392372131,0.07031306624412537,0.4637600779533386,0.7832326292991638,0.7766653895378113
19,0.7113112211227417,0.5522259473800659,0.06597818434238434,0.00020000001,0.4639125466346741,0.8019688129425049,0.7789089679718018,0.7016463875770569,0.5409154295921326,0.06983045488595963,0.4637600779533386,0.7913101315498352,0.7694969177246094
20,0.7137159109115601,0.5550987720489502,0.0652429461479187,0.00020000001,0.4639125466346741,0.8045321106910706,0.7804010510444641,0.70381098985672,0.5435326099395752,0.06934237480163574,0.4637600779533386,0.7938583493232727,0.7675958275794983
21,0.7164378762245178,0.5583645105361938,0.0646253228187561,0.00020000001,0.4639125466346741,0.805912435054779,0.7836417555809021,0.7090626955032349,0.549755334854126,0.06901451200246811,0.4637600779533386,0.7825020551681519,0.788467526435852
22,0.7173888683319092,0.5595199465751648,0.06439881026744843,0.00020000001,0.46391260623931885,0.8077349066734314,0.7832127809524536,0.7146155834197998,0.5564317107200623,0.06952081620693207,0.4637600779533386,0.7775889039039612,0.7957465648651123
23,0.720878005027771,0.5637317895889282,0.06379129737615585,0.00020000001,0.46391263604164124,0.8083137273788452,0.7870182394981384,0.7144683003425598,0.5562839508056641,0.06865996867418289,0.4637600779533386,0.7831753492355347,0.7938390970230103
24,0.7228605151176453,0.566192626953125,0.0633302703499794,0.00020000001,0.4639125466346741,0.8094878792762756,0.7898930311203003,0.7160348296165466,0.5582234859466553,0.06868015974760056,0.4637600779533386,0.7858864665031433,0.7884016036987305
25,0.7250288724899292,0.568825900554657,0.0627732202410698,0.00020000001,0.46391263604164124,0.8110804557800293,0.7921907305717468,0.7124396562576294,0.5537938475608826,0.06851966679096222,0.4637600779533386,0.8012493252754211,0.7672895789146423
26,0.7268805503845215,0.5711751580238342,0.06257107853889465,0.00020000001,0.46391260623931885,0.8125559091567993,0.7915552854537964,0.7191585898399353,0.5620882511138916,0.06958743184804916,0.4637600779533386,0.7740126848220825,0.8020941615104675
27,0.7293408513069153,0.5741558074951172,0.06180023029446602,0.00020000001,0.4639125466346741,0.8127418160438538,0.7976465225219727,0.7213883996009827,0.5647792220115662,0.0687490776181221,0.4637600779533386,0.7801914811134338,0.7992510199546814
28,0.7331525087356567,0.5789145827293396,0.061076581478118896,0.00020000001,0.46391263604164124,0.8165900707244873,0.7988798022270203,0.7238503098487854,0.5678026676177979,0.06884482502937317,0.4637600779533386,0.774037778377533,0.8075997233390808
29,0.7346811890602112,0.5808475017547607,0.06075674667954445,0.00020000001,0.46391257643699646,0.8165536522865295,0.8013870120048523,0.725138247013092,0.5693379640579224,0.06762751936912537,0.4637600779533386,0.7791958451271057,0.8118165731430054
30,0.7371231913566589,0.5838379263877869,0.06013825535774231,0.00020000001,0.4639125466346741,0.8180216550827026,0.8037763833999634,0.7285018563270569,0.5736090540885925,0.06856091320514679,0.4637600779533386,0.7869803309440613,0.7945195436477661
31,0.739730715751648,0.5871430039405823,0.05959496274590492,0.00020000001,0.4639125466346741,0.8214268088340759,0.8045637011528015,0.7291107177734375,0.5743032097816467,0.06883013993501663,0.4637600779533386,0.7678545117378235,0.8230105638504028
32,0.7421861886978149,0.5902037620544434,0.05920449644327164,0.00020000001,0.4639125466346741,0.8212209343910217,0.8086565136909485,0.7226029634475708,0.5662791728973389,0.06858880817890167,0.4637600779533386,0.7927452325820923,0.7820624709129333
33,0.7443461418151855,0.5929760336875916,0.05864569544792175,0.00020000001,0.4639125466346741,0.8232911229133606,0.8093412518501282,0.7257487177848816,0.5702129006385803,0.06882567703723907,0.4637600779533386,0.7753204107284546,0.8110170364379883
34,0.7456847429275513,0.5946445465087891,0.057612452656030655,2.0000001e-05,0.4639125466346741,0.8276910781860352,0.8123077154159546,0.7286275625228882,0.5737852454185486,0.06851784884929657,0.4637600779533386,0.7866944074630737,0.7992914319038391
35,0.7490891218185425,0.5989614725112915,0.05735953524708748,2.0000001e-05,0.4639125466346741,0.8271925449371338,0.8146710991859436,0.7303944826126099,0.5759686231613159,0.0684519037604332,0.4637600779533386,0.7855826020240784,0.8010118007659912
36,0.7495393753051758,0.5995585322380066,0.0572260320186615,2.0000001e-05,0.46391260623931885,0.827031135559082,0.8158988952636719,0.7313861846923828,0.5772395730018616,0.0691518560051918,0.4637600779533386,0.7838593125343323,0.8030234575271606
37,0.7512108683586121,0.6016934514045715,0.056961555033922195,2.0000001e-05,0.4639125466346741,0.8283981680870056,0.8157495856285095,0.73167884349823,0.5776116847991943,0.06937385350465775,0.4637600779533386,0.7854748964309692,0.8004610538482666
38,0.7519460916519165,0.602625846862793,0.05673440545797348,1e-05,0.46391257643699646,0.8284311890602112,0.8182622790336609,0.7318171858787537,0.5777844786643982,0.06927918642759323,0.4637600779533386,0.7851961255073547,0.8014625906944275
39,0.7524903416633606,0.6033472418785095,0.05675831064581871,1e-05,0.4639125466346741,0.8279750943183899,0.8180980086326599,0.7320874333381653,0.5781146287918091,0.06915891170501709,0.4637600779533386,0.785783588886261,0.8007672429084778
